city,state,averageTempMonthly,month,lat,lon,averageAQIMonthly,mainPollutantMonthly,AQI category,averagePrecipitationMonthly,averageWindSpeedMonthly
Chapel Hill,NC,28,July,35.9132,-79.0558,48,Ozone,Good,4,8
Charlotte,NC,27,July,35.2271,-80.8431,67,Ozone,Moderate,4,8
Chicago,IL,24,July,41.8781,87.6298,85,Ozone,Moderate,9,11
Cleveland,OH,24,July,41.4993,-81.6944,72,Ozone,Moderate,4,12
Dallas,TX,32,July,32.7767,-96.797,82,Ozone,Moderate,0,13
Denver,CO,24,July,39.7392,-104.9903,87,Ozone,Moderate,1,13
Detroit,MI,22,July,42.3314,-83.0458,70,Ozone,Moderate,5,11
Greensboro,NC,26,July,36.0726,-79.7915,56,Ozone,Good,2,9
Houston,TX,30,July,29.7604,-95.3698,71,PM2.5,Moderate,1,13
Ithaca,NY,22,July,42.444,-76.5019,41,Ozone,Good,5,8
Kahului,HI,26,July,20.889,-156.4743,14,PM2.5,Good,0,27
Los Angeles,CA,23,July,34.0522,-118.2437,159,Ozone,Unhealthy,0,4
Madison,WI,23,July,43.0731,-89.4012,60,Ozone,Moderate,3,7
Miami,FL,30,July,25.7617,-80.1918,56,PM2.5,Moderate,6,7
Minneapolis,MN,23,July,44.9778,-93.265,68,Ozone,Moderate,2,10
New York City,NY,26,July,40.7128,-74.006,87,Ozone,Moderate,5,8
Orlando,FL,28,July,28.5383,-81.3792,41,Ozone,Good,4,9
Philadelphia,PA,26,July,39.9526,-75.1652,75,Ozone,Moderate,4,11
Phoenix,AZ,39,July,33.4484,-112.074,128,Ozone,Unhealthy for Sensitive Groups,0,13
Portland,OR,22,July,45.5155,-122.6793,45,Ozone,Good,0,10
Raleigh,NC,28,July,35.7796,-78.6382,54,PM2.5,Good,4,8
Richmond,VA,27,July,37.5407,-77.436,52,Ozone,Good,4,10
San Francisco,CA,17,July,37.7749,-122.4194,63,Ozone,Moderate,0,15
Seattle,WA,20,July,47.6062,-122.3321,53,Ozone,Good,0,7
State College,PA,22,July,40.7934,-77.86,53,Ozone,Good,4,6
"Washington, D.C.",DC,27,July,38.9072,-77.0369,73,Ozone,Moderate,5,11
Athens,GA,26,August,33.9519,-83.3576,70,Ozone,Moderate,4,5
Baltimore,MD,27,August,39.2904,-76.6122,53,Ozone,Good,2,14
Boston,MA,22,August,42.3601,-71.0589,43,Ozone,Good,5,15
Chapel Hill,NC,27,August,35.9132,-79.0558,45,Ozone,Good,1,8
Charlotte,NC,26,August,35.2271,-80.8431,62,Ozone,Moderate,5,8
Chicago,IL,24,August,41.8781,87.6298,72,Ozone,Moderate,3,14
Cleveland,OH,22,August,41.4993,-81.6944,56,PM2.5,Moderate,4,15
Dallas,TX,34,August,32.7767,-96.797,107,Ozone,Moderate,0,12
Denver,CO,23,August,39.7392,-104.9903,86,Ozone,Moderate,1,13
Detroit,MI,21,August,42.3314,-83.0458,62,PM2.5,Moderate,4,13
Greensboro,NC,25,August,36.0726,-79.7915,49,Ozone,Good,2,9
Houston,TX,31,August,29.7604,-95.3698,98,Ozone,Unhealthy for Sensitive Groups,0,14
Ithaca,NY,19,August,42.444,-76.5019,33,Ozone,Good,6,10
Kahului,HI,27,August,20.889,-156.4743,15,PM2.5,Good,0,26
Los Angeles,CA,23,August,34.0522,-118.2437,116,Ozone,Unhealthy for Sensitive Groups,1,4
Madison,WI,22,August,43.0731,-89.4012,52,PM2.5,Moderate,2,9
Miami,FL,30,August,25.7617,-80.1918,48,PM2.5,Moderate,8,10
Minneapolis,MN,23,August,44.9778,-93.265,61,PM2.5,Moderate,2,10
New York City,NY,24,August,40.7128,-74.006,54,Ozone,Good,2,9
Orlando,FL,29,August,28.5383,-81.3792,40,Ozone,Good,5,10
Philadelphia,PA,25,August,39.9526,-75.1652,61,PM2.5,Moderate,2,12
Phoenix,AZ,37,August,33.4484,-112.074,93,Ozone,Moderate,0,12
Portland,OR,23,August,45.5155,-122.6793,71,Ozone,Good,0,9
Raleigh,NC,27,August,35.7796,-78.6382,50,PM2.5,Good,1,8
Richmond,VA,26,August,37.5407,-77.436,47,Ozone,Good,1,11
San Francisco,CA,19,August,37.7749,-122.4194,56,PM2.5,Moderate,0,14
Seattle,WA,21,August,47.6062,-122.3321,65,Ozone,Good,0,6
State College,PA,21,August,40.7934,-77.86,41,Ozone,Good,5,7
"Washington, D.C.",DC,26,August,38.9072,-77.0369,56,Ozone,Moderate,3,12
Athens,GA,22,September,33.9519,-83.3576,58,Ozone,Moderate,0,6
Baltimore,MD,23,September,39.2904,-76.6122,48,Ozone,Good,3,15
Boston,MA,20,September,42.3601,-71.0589,46,PM2.5,Good,3,15
Chapel Hill,NC,23,September,35.9132,-79.0558,38,Ozone,Good,4,7
Charlotte,NC,23,September,35.2271,-80.8431,49,Ozone,Good,0,8
Chicago,IL,20,September,41.8781,87.6298,55,Ozone,Moderate,2,12
Cleveland,OH,20,September,41.4993,-81.6944,47,PM2.5,Good,0,13
Dallas,TX,29,September,32.7767,-96.797,94,Ozone,Unhealthy for Sensitive Groups,2,11
Denver,CO,19,September,39.7392,-104.9903,68,Ozone,Moderate,0,12
Detroit,MI,18,September,42.3314,-83.0458,55,PM2.5,Moderate,1,10
Greensboro,NC,21,September,36.0726,-79.7915,42,Ozone,Good,4,8
Houston,TX,29,September,29.7604,-95.3698,98,Ozone,Moderate,1,12
Ithaca,NY,16,September,42.444,-76.5019,33,Ozone,Good,2,7
Kahului,HI,26,September,20.889,-156.4743,15,PM2.5,Good,0,24
Los Angeles,CA,22,September,34.0522,-118.2437,89,Ozone,Moderate,0,4
Madison,WI,20,September,43.0731,-89.4012,43,Ozone,Good,3,10
Miami,FL,29,September,25.7617,-80.1918,40,PM2.5,Good,10,8
Minneapolis,MN,20,September,44.9778,-93.265,53,PM2.5,Moderate,4,10
New York City,NY,22,September,40.7128,-74.006,55,Ozone,Good,7,11
Orlando,FL,27,September,28.5383,-81.3792,45,Ozone,Good,4,9
