Date,Overall AQI Value,Main Pollutant,Ozone,PM25,CO,PM10,NO2,AQI category,city,state,Temperature,Precipitation,Wind Speed
2023-06-09,20,Ozone,20.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,12.3,4.2,4.4
2023-06-10,43,Ozone,43.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,15.7,0.2,6.6
2023-06-11,61,Ozone,61.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,19.8,0.0,8.2
2023-06-12,48,Ozone,48.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,20.1,21.5,17.8
2023-06-13,42,Ozone,42.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,16.5,0.3,9.9
2023-06-14,37,Ozone,37.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,14.2,30.0,15.4
2023-06-15,44,Ozone,44.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,17.5,0.1,11.7
2023-06-16,42,Ozone,42.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,14.8,24.1,3.7
2023-06-17,39,Ozone,39.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,16.8,3.1,12.7
2023-06-18,31,Ozone,31.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,17.0,0.7,7.5
2023-06-19,41,Ozone,41.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,19.5,0.0,6.4
2023-06-20,64,Ozone,64.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,21.0,0.4,8.8
2023-06-21,44,Ozone,44.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,20.3,0.0,8.0
2023-06-22,33,Ozone,33.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,19.7,0.0,9.8
2023-06-23,28,Ozone,28.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,21.2,9.5,11.1
2023-06-24,25,Ozone,25.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,21.0,8.5,7.2
2023-06-25,31,Ozone,31.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,22.4,3.9,4.9
2023-06-26,40,Ozone,40.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,22.4,5.7,14.7
2023-06-27,38,Ozone,38.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,20.4,14.3,10.2
